Markas,Lintang,Bujur
MarkasBaSingSe,25.0330,121.5654
MarkasOmashu,10.3157,123.8854
MarkasPulauKyoshi,10.4744,98.9305
MarkasGaoling,-0.9116,119.9004
MarkasSenlin,23.5565,117.6227
MarkasMakapuOahu,21.3394,157.7147
MarkasHira'aTahiti,15.2549,145.8150
MarkasChinManila,14.5995,120.9842
MarkasTuZinCebu,10.3157,123.8854
MarkasSaigon,10.8231,106.6297
MarkasKyoshiBangkok,13.7563,100.5018
MarkasRepublikSingapore,1.3521,103.8198
MarkasJakartaKerajaanBumi,-6.2088,106.8456
MarkasSurabayaKerajaanBumi,-7.2575,112.7521
MarkasDavaoKerajaanBumi,7.1907,125.4553
MarkasPuertoPrincesaPalawan,9.9672,118.7859
MarkasKuchingBorneo,1.5497,110.3631
MarkasPhnomPenhKerajaanBumi,11.5564,104.9282
MarkasFullMoonBayKerajaanBumi,10.6093,103.5297
MarkasPulauEmberLangkawi,6.3500,99.8000
